variant,MAE,RMSE,R2,MAPE,SMAPE,exact_band_accuracy,within_1_band_accuracy,within_2_band_accuracy,within_3_band_accuracy,model
hist_gradient_classifier_class,2860.412,3793.66202,0.92961,12.94497,13.02568,0.1758,0.4284,0.621,0.7654,HistGradientBoostingClassifier
hist_gradient_classifier_expected_value,2514.80348,3211.07163,0.94957,12.14417,11.58309,0.1618,0.4538,0.6818,0.8284,HistGradientBoostingClassifier
