year_last_admitted_missing,customer_count,mean_cost,median_cost,mean_age,mean_bmi,mean_medical_risk,mean_lifestyle_risk
False,13119,29384.51,29616.0,44.97,31.23,2.43,2.42
True,11881,24677.2,23446.0,44.87,31.42,1.76,2.42
