bmi_missing,customer_count,mean_cost,median_cost,mean_age,mean_weight,mean_medical_risk,mean_lifestyle_risk
False,24010,27160.64,27148.0,44.92,71.62,2.08,2.41
True,990,26826.41,27148.0,44.91,71.4,2.84,2.67
